 Question,Long Answer,Short Answer,Source,Prompts,QnaId,ContextNeeded,InCourse
چیستی نظریه دلبستگی؟,نظریه دلبستگی یک نظریه روان‌شناختی درباره روابط بین انسان‌هاست.  مهم‌ترین اصل این نظریه این است که کودکان جوان نیاز دارند تا با یک یا چند مراقب اصلی رابطه برقرار کنند تا برای توسعه اجتماعی و عاطفی سالم نیازمندی‌های خود را برطرف کنند.  این نظریه توسط روان‌آنالیز ژان بولبی تدوین شد.,,https://en.wikipedia.org/wiki/Attachment_theory,"[{""DisplayOrder"":1,""QnaId"":303,""DisplayText"":""Role-play in SAT""}]",1,FALSE,TRUE
چیستی دلبستگی؟,"دلبستگی" به ارتباط عاطفی بین دو نفر اشاره دارد، به‌طور معمول یک مراقب و یک کودک. این ارتباط می‌تواند بین دو نفر بزرگتر نیز وجود داشته باشد. اما در ارتباط کودک و مراقب، این ارتباط به نیاز کودک به امنیت، امانت و حفاظت مرتبط است. در روابط کودک به بزرگتر، اتصال کودک به عنوان "دلبستگی" شناخته می‌شود و ارتباط متقابل از سوی مراقب به عنوان "ارتباط مراقبت‌دهنده" شناخته می‌شود.,,https://en.wikipedia.org/wiki/Attachment_theory,"[{""DisplayOrder"":1,""QnaId"":400,""DisplayText"":""Attachment Styles""},{""DisplayOrder"":2,""QnaId"":401,""DisplayText"":""Attachment Behaviour""}, {""DisplayOrder"":3,""QnaId"":7,""DisplayText"":""Biological Explanations of Attachment""}]",2,FALSE,FALSE
آیا رفتار دلبستگی ایمنی را نشان می‌دهد؟,"قدرت رفتار دلبستگی کودک در یک شرایط خاص نشان‌دهنده 'قوت' ارتباط دلبستگی نیست. کودکان ناامن ممکن است به طور مکرر رفتارهای دلبستگی قوی نشان دهند، در حالی که کودکان ایمن ممکن است نیازی به نمایش‌های شدید یا مکرر از رفتار دلبستگی نداشته باشند.",,https://en.wikipedia.org/wiki/Attachment_theory,"[{""DisplayOrder"":1,""QnaId"":4,""DisplayText"":""The change of attachment from childhood to adolescence""},{""DisplayOrder"":2,""QnaId"":14,""DisplayText"":""Attachment Behaviour in Infants""}]",3,FALSE,FALSE
چگونه دلبستگی از کودکی تا نوجوانی تغییر می‌کند؟,"هنگامی که کودکان رشد می‌کنند، رفتارهای دلبستگی تحول می‌کنند و مذاکره و مصالحه در دوره مهدکودکی معمول می‌شود.  در دوران کودکی متوسط (سنین 7 تا 11 سال)، کودکان شراکت‌های هدف‌گرا با والدین را شکل می‌دهند، اولویت می‌دهند به امکانات بیشتر از فاصله جغرافیایی و خودمختارتر می‌شوند.  تا نوجوانی، سیستم دلبستگی به عنوان یک مرتب‌کننده امنیتی عمل می‌کند و به پتانسیل خطر یا استرس پاسخ می‌دهد.  بلوغ‌شان تأثیر می‌گذارد روی فعال‌سازی سیستم دلبستگی، اگرچه هنوز اهمیت به نسبت به شخصیت‌های دلبستگی خود دارند و می‌توانند در برخی موقعیت‌ها بدون تنش مهم‌ترین رفتارهای دلبستگی را انجام دهند.",,https://en.wikipedia.org/wiki/Attachment_theory,"[{""DisplayOrder"":1,""QnaId"":180,""DisplayText"":""self-attachment""},{""DisplayOrder"":2,""QnaId"":401,""DisplayText"":""Attachment Behaviour""}]",4,FALSE,FALSE
چه سبک‌های دلبستگی در بزرگسالان وجود دارد؟,"در دهه 1980، سیندی هازان و فیلیپ شیور نظریه دلبستگی را به روابط عاشقانه بزرگسالان گسترش دادند.  چهار سبک دلبستگی در بزرگسالان شناسایی شده‌اند: امن، نگران-دلبسته، دوری-اجتنابی و ترس-اجتنابی.  این‌ها تقریباً با طبقه‌بندی‌های نوزادان مطابقت دارند: دلبستگی امن، نگران یا تردید، اجتنابی و دلبستگی غیرسازمان‌یافته.","چهار سبک دلبستگی در بزرگسالان شناسایی شده‌اند: امن، نگران-دلبسته، دوری-اجتنابی و ترس-اجتنابی.",https://en.wikipedia.org/wiki/Attachment_theory,"[{""DisplayOrder"":1,""QnaId"":24,""DisplayText"":""secure attachment in adults""},{""DisplayOrder"":2,""QnaId"":25,""DisplayText"":""anxious-preoccupied""}, {""DisplayOrder"":2,""QnaId"":26,""DisplayText"":""dismissive-avoidant""}, {""DisplayOrder"":2,""QnaId"":27,""DisplayText"":""fearful-avoidant""}]",5,FALSE,FALSE
توضیحات زیست‌شناختی دلبستگی چیست؟,"کیفیت مراقبت‌های دریافتی در دوران کودکی به‌طور مستقیم بر تنظیم استرس و عملکرد سیستم ایمنی افراد تأثیر می‌گذارد.  تحقیقات نشان داده است که تجربیات منفی در دوران کودکی اولیه تولید سلول‌های فنوتیپ‌پروالتریکالی در سیستم ایمنی را ایجاد می‌کند که مستقیماً با بیماری‌های قلبی عروقی، بیماری‌های خودایمنی و برخی از انواع سرطان مرتبط است.  عوامل ژنتیک ارثی نیز موجب شکل‌گیری دلبستگی می‌شوند، مانند ژن‌های خاص پلی‌مورفیسم که به دلبستگی نگران یا دوری مرتبط هستند. در بزرگسالی، سبک‌های دلبستگی با نشانگرهای ایمنی مرتبط هستند.  دلبستگی دوری با سطوح بالاتر اینترلوکین-6 در هنگام استرس مرتبط است، در حالی که دلبستگی نگران با تولید کورتیزول بالا و کاهش شمارش سلول‌های T مرتبط است.",,https://en.wikipedia.org/wiki/Attachment_theory,"[{""DisplayOrder"":1,""QnaId"":8,""DisplayText"":""attachment theory and crime""},{""DisplayOrder"":2,""QnaId"":23,""DisplayText"":""importance of attachment patterns""}]",7,FALSE,FALSE
نظریه دلبستگی چگونه با جرم و جنایت مرتبط است؟,"نظریه دلبستگی حتی به عنوان یک نظریه فراگیر تأثیرگذار در زمینه جرم و جنایت مورد نظر قرار می‌گیرد! مشخص شده است که اختلالات اولیه در رابطه کودک-مراقب با افزایش خطر ارتکاب جرم و جنایت مرتبط هستند. نظریه دلبستگی برای تشخیص پروفایل مجرمان، مطالعه انواع جرم و جنایت و توسعه راهبردهای پیشگیری استفاده شده است.",,https://en.wikipedia.org/wiki/Attachment_theory,"[{""DisplayOrder"":1,""QnaId"":410,""DisplayText"":""Real example of self-attachment""},{""DisplayOrder"":1,""QnaId"":8,""DisplayText"":""attachment theory and crime""},{""DisplayOrder"":2,""QnaId"":23,""DisplayText"":""importance of attachment patterns""}]",8,FALSE,FALSE
کاربردهای عملی نظریه دلبستگی چیستند؟,"به‌عنوان یک نظریه توسعه اجتماعی-عاطفی، نظریه دلبستگی دارای پیامدها و کاربردهای عملی در سیاست‌های اجتماعی، تصمیم‌گیری‌های مرتبط با مراقبت و بهره‌برداری از کودکان و سلامت روانی می‌باشد.",,https://en.wikipedia.org/wiki/Attachment_theory,[],9,FALSE,FALSE
چه نوع رفتارهای دلبستگی در نوزادان دیده می‌شود؟,"رفتارهای پیش‌دلبستگی در اولین شش ماه از زندگی رخ می‌دهند.  در هشت هفته اول از تولد، نوزادان از لبخند، بابلینگ و گریه استفاده می‌کنند تا توجه کسانی که در اطرافشان هستند را جلب کنند.  در فاز دوم (دو تا شش ماه)، آنها شروع به تفاوت‌گذاری بین بزرگ‌ترها و غریبه‌ها می‌کنند و نسبت به مراقب اصلی واکنش‌پذیرتر می‌شوند. آنها نیز رفتارهایی مانند دنبال‌کردن و چسبیدن را نشان می‌دهند.  تا پایان سال اول، نوزادان رفتارهای دلبستگی را برای حفظ نزدیکی نشان می‌دهند، مانند اعتراض به جدایی، خوش‌آمدگویی به بازگشت مراقب، چسبیدن به زمان ترسیدن و دنبال‌کردن به‌منظور ممکن است. هنگامی که نوزادان توانایی حرکت دارند، از مراقب به‌عنوان ""پایه ایمن"" برای کاوش‌ها استفاده می‌کنند. هنگامی که مراقب حاضر است، کاوش‌ها افزایش می‌یابد، اما اگر مراقب به‌صورت دسترسی ندارد یا واکنش نشان نمی‌دهد، رفتارهای دلبستگی تشدید می‌شوند.  پس از دو سال، کودکان یک رابطه پیچیده‌تر با مراقب برقرار می‌کنند، احساسات دیگران را می‌شناسند و رفتارهای خود را مطابق با آنها تنظیم می‌کنند.",,https://en.wikipedia.org/wiki/Attachment_theory,[],14,FALSE,FALSE
چه اصولی در نظریه دلبستگی وجود دارد؟,نظریه دلبستگی مدرن بر سه اصل تمرکز دارد:ایجاد اتصال یک نیاز ذاتی انسانی است.تنظیم احساس و ترس به منظور افزایش حیویت.ترویج تطابق و رشد.,,https://en.wikipedia.org/wiki/Attachment_theory,[],15,FALSE,FALSE
